workspace_id,doctor_id,name,actual_id,gender,experience,speciality_id,speciality_name,speciality_alias,is_active,profile_url,profile_pic,languages,hospitals
78323888282175,do1773907928150,Nabila Rahman,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,d-1762176247337,Smitha Pavle,,,,9,Paediatrics Sub-Speciality,"Paediatric Subspecialty, Pediatric Subspecialty",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980909406447,Manjula S Patil,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/a6ef43f2-22c2-4522-9f16-b08ceb81cebe.jpg,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980909170079,Swetha M P,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/7078a306-0c63-474d-bf03-d0cc7af3c722.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980876429949,Harini P Shetty,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/cc0cd38f-6d81-47c1-9fba-2f17cef82fef.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980909704811,Shwetha S Yadav,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/d09fd5a0-baf6-4158-badd-32e8701506fb.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,176006991773048,Avani Hegde,,,,9,Paediatrics Sub-Speciality,"Paediatric Subspecialty, Pediatric Subspecialty",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980908626465,Pranavi Nagendla,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/f9e945a7-67a6-4bc3-a6a1-0b4a8d1a708e.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,174980908596298,Sudha R,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/3aa10020-0e1d-462e-98c5-58956d3da4f7.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
78323888282175,174980908569154,Madhurima R,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/7ba16c64-5af2-44dd-ad77-d26d59722629.webp,,"Ovum Hospitals – Hoskote:Bengaluru:Karnataka:6849658ccc2d87001db0c238:::HIG Extension Road, Swamy Vivekananda Nagar, KHB Colony, Hoskote"
